schoolName,DTaP_P,MEASLES,MUMPS,RUBELLA,VARICELLA1,VARICELLA2,MENC,HBV,UTD1,UTD2,ZERO
DAVID OPPENHEIMER ELEMENTARY,90%,90%,90%,95%,95%,87%,95%,95%,90%,87%,NR
DR ANNIE B JAMIESON ELEMENTARY,87%,89%,89%,100%,100%,89%,96%,98%,83%,83%,0%
DR GEORGE M WEIR ELEMENTARY,94%,96%,96%,98%,98%,96%,98%,98%,94%,94%,NR
DR H N MACCORKINDALE ELEMENTARY,88%,88%,88%,94%,94%,88%,97%,97%,88%,88%,NR
ECOLE ANNE HEBERT ELEMENTARY,89%,89%,89%,92%,89%,83%,94%,89%,85%,80%,NR
J W SEXSMITH COMMUNITY ELEMENTARY,86%,89%,89%,97%,97%,89%,97%,97%,86%,86%,NR
JOHN HENDERSON ELEMENTARY,92%,97%,95%,98%,98%,92%,98%,95%,89%,89%,NR
OAKRIDGE MONTESSORI CENTRE PRESCHOOL,50%,50%,50%,67%,67%,50%,67%,67%,50%,50%,NR
PIERRE ELLIOTT TRUDEAU ELEMENTARY,92%,96%,96%,96%,96%,92%,96%,96%,92%,92%,NR
SIR CHARLES KINGSFORD-SMITH,89%,86%,86%,100%,97%,86%,100%,100%,86%,86%,0%
SIR JAMES DOUGLAS ANNEX,91%,86%,86%,98%,98%,89%,95%,95%,86%,84%,NR
SIR JAMES DOUGLAS ELEMENTARY,77%,80%,80%,100%,100%,80%,97%,97%,74%,74%,0%
SIR SANDFORD FLEMING ELEMENTARY,83%,84%,84%,95%,95%,83%,97%,90%,78%,78%,NR
SIR WILFRID LAURIER ELEMENTARY,96%,100%,100%,100%,100%,96%,100%,96%,96%,93%,0%
SIR WILLIAM OSLER ELEMENTARY,100%,91%,91%,100%,100%,100%,100%,100%,91%,91%,0%
SIR WM VAN HORNE ELEMENTARY,81%,75%,75%,90%,90%,77%,87%,85%,73%,73%,NR
ST ANDREW'S,68%,64%,64%,82%,82%,73%,86%,86%,64%,64%,NR
ST ANTHONY OF PADUA,85%,100%,100%,100%,96%,89%,100%,100%,85%,85%,0%
TECUMSEH ELEMENTARY,95%,95%,95%,95%,95%,95%,98%,95%,95%,95%,NR
VANCOUVER HEBREW ACADEMY,64%,64%,64%,93%,71%,57%,93%,86%,57%,57%,NR
VANCOUVER MONTESSORI SCHOOL,68%,68%,68%,91%,86%,64%,91%,82%,64%,59%,NR
WALTER MOBERLY ELEMENTARY,86%,88%,88%,94%,94%,87%,97%,94%,84%,83%,NR
WAVERLEY ELEMENTARY,81%,86%,86%,93%,93%,88%,95%,93%,81%,81%,NR
